transaction_id,account_id,transaction_date,amount,transaction_type,description,source
TXN-0076,ACC-001,2024-01-06,206.94,Transfer,Internal Transfer,SYSTEM
TXN-0077,ACC-008,2024-02-23,-7915.64,Fee,Wire Fee,SYSTEM
TXN-0078,ACC-007,2024-02-01,-4455.42,Withdrawal,Wire Out,SYSTEM
TXN-0079,ACC-002,2024-02-24,8743.1,Deposit,Wire In,SYSTEM
TXN-0080,ACC-008,2024-01-03,-7262.51,Withdrawal,Wire Out,SYSTEM
TXN-0081,ACC-009,2024-03-12,734.44,Deposit,Check Deposit,SYSTEM
TXN-0082,ACC-009,2024-02-24,-7472.75,Fee,Wire Fee,SYSTEM
TXN-0083,ACC-008,2024-02-27,-7692.16,Fee,Overdraft Fee,SYSTEM
TXN-0084,ACC-009,2024-03-03,-3495.52,Withdrawal,Wire Out,SYSTEM
TXN-0085,ACC-004,2024-02-04,715.7,Transfer,Interbank Transfer,SYSTEM
TXN-0086,ACC-003,2024-01-30,1725.12,Transfer,Interbank Transfer,SYSTEM
TXN-0087,ACC-007,2024-02-12,-1578.0,Withdrawal,Check Paid,SYSTEM
TXN-0088,ACC-007,2024-03-15,-833.73,Fee,Wire Fee,SYSTEM
TXN-0089,ACC-007,2024-03-02,7889.59,Deposit,ACH Credit,SYSTEM
TXN-0090,ACC-007,2024-03-09,395.7,Transfer,Internal Transfer,SYSTEM
TXN-0091,ACC-001,2024-02-19,-441.04,Fee,Overdraft Fee,SYSTEM
TXN-0092,ACC-003,2024-03-24,-8563.71,Fee,Wire Fee,SYSTEM
TXN-0093,ACC-001,2024-01-11,33675.71,Deposit,Cash Deposit,SYSTEM
TXN-0094,ACC-005,2024-02-18,-2635.38,Withdrawal,ACH Debit,SYSTEM
TXN-0095,ACC-007,2024-02-01,-343.79,Withdrawal,Check Paid,SYSTEM
TXN-0096,ACC-009,2024-01-07,5232.29,Transfer,Interbank Transfer,SYSTEM
TXN-0097,ACC-001,2023-12-31,-8030.32,Withdrawal,Wire Out,SYSTEM
TXN-0098,ACC-004,2024-01-17,-6591.4,Withdrawal,Check Paid,SYSTEM
TXN-0099,ACC-005,2024-02-17,225.57,Deposit,Wire In,SYSTEM
TXN-0100,ACC-005,2024-01-14,2473.73,Deposit,ACH Credit,SYSTEM
TXN-0200,ACC-008,2024-01-16,6092.83,Transfer,System Adjustment,SYSTEM
TXN-0201,ACC-004,2024-02-14,664.24,Transfer,System Adjustment,SYSTEM
TXN-0202,ACC-002,2024-03-05,1113.86,Transfer,System Adjustment,SYSTEM
TXN-0203,ACC-007,2024-03-03,960.22,Transfer,System Adjustment,SYSTEM
